original_name,image_name,dataset,double_marked,partition,marked_structure,animal_type,animal_id,sample_id,sample_row,sample_col,brain_region,zoom,has_metadata,resolution_px_um
Mar22bS1C2R1_VLPAGl_200x_g.TIF,0.png,green,VERDADERO,test,nucleus,marvin,22b,1,1,2,VLPAGl,200x,VERDADERO,3.187
Mar19bS1C4R1_VLPAGr_200x_g.TIF,1.png,green,VERDADERO,test,nucleus,marvin,19b,1,1,4,VLPAGr,200x,VERDADERO,3.187
Mar24bS1C1R2_DMr_200x_g.TIF,2.png,green,VERDADERO,test,nucleus,marvin,24b,1,2,1,DMr,200x,VERDADERO,3.187
Mar19bS1C4R3_LHl_200x_g.TIF,3.png,green,VERDADERO,trainval,nucleus,marvin,19b,1,3,4,LHl,200x,VERDADERO,3.187
RT466S5C1R2_ParCortex_100x_g.TIF,4.png,green,FALSO,unlabelled,nucleus,rat,466,5,2,1,PARCORTEX,100x,VERDADERO,3.187
Mar19bS1C4R2_DMl_200x_g.TIF,5.png,green,VERDADERO,trainval,nucleus,marvin,19b,1,2,4,DMl,200x,VERDADERO,3.187
Mar27bS1C3R1_LHr_200x_g.TIF,6.png,green,VERDADERO,test,nucleus,marvin,27b,1,1,3,LHr,200x,VERDADERO,3.187
Mar21bS2C1R2_DMl_200x_g.TIF,7.png,green,VERDADERO,trainval,nucleus,marvin,21b,2,2,1,DMl,200x,VERDADERO,3.187
Mar22bS2C1R1_LHl_200x_g.TIF,8.png,green,VERDADERO,trainval,nucleus,marvin,22b,2,1,1,LHl,200x,VERDADERO,3.187
Mar20bS2C1R1_DMl_200x_g.TIF,9.png,green,VERDADERO,trainval,nucleus,marvin,20b,2,1,1,DMl,200x,VERDADERO,3.187
Mar20bS1C2R2_VLPAGl_200x_g.TIF,10.png,green,VERDADERO,test,nucleus,marvin,20b,1,2,2,VLPAGl,200x,VERDADERO,3.187
Mar21bS2C1R2_DMr_200x_g.TIF,11.png,green,VERDADERO,trainval,nucleus,marvin,21b,2,2,1,DMr,200x,VERDADERO,3.187
Mar23bS1C6R1_LHl_200x_g.TIF,12.png,green,VERDADERO,trainval,nucleus,marvin,23b,1,1,6,LHl,200x,VERDADERO,3.187
Mar26bS2C2R2_DMl_200x_g.TIF,13.png,green,VERDADERO,trainval,nucleus,marvin,26b,2,2,2,DMl,200x,VERDADERO,3.187
Mar21bS2C2R1_LHr_200x_g.TIF,14.png,green,VERDADERO,trainval,nucleus,marvin,21b,2,1,2,LHr,200x,VERDADERO,3.187
Mar20bS1C2R3_VLPAGr_200x_g.TIF,15.png,green,VERDADERO,test,nucleus,marvin,20b,1,3,2,VLPAGr,200x,VERDADERO,3.187
Mar19bS2C1R1_LHl_200x_g.TIF,16.png,green,VERDADERO,trainval,nucleus,marvin,19b,2,1,1,LHl,200x,VERDADERO,3.187
RT463S3C3R1_LH_100x_g.TIF,17.png,green,FALSO,unlabelled,nucleus,rat,463,3,1,3,LH,100x,VERDADERO,3.187
Mar21bS2C1R3_LHr_200x_g.TIF,18.png,green,VERDADERO,trainval,nucleus,marvin,21b,2,3,1,LHr,200x,VERDADERO,3.187
Mar20bS2C1R2_LHr_200x_g.TIF,19.png,green,VERDADERO,trainval,nucleus,marvin,20b,2,2,1,LHr,200x,VERDADERO,3.187
RT429S4C3R3_VLPAG_100x_g.TIF,20.png,green,FALSO,unlabelled,nucleus,rat,429,4,3,3,VLPAG,100x,VERDADERO,3.187
Mar26bS1C4R3_LHl_200x_g.TIF,21.png,green,VERDADERO,trainval,nucleus,marvin,26b,1,3,4,LHl,200x,VERDADERO,3.187
RT431S9C3R1_RVLM_100x_g.TIF,22.png,green,FALSO,unlabelled,nucleus,rat,431,9,1,3,RVLM,100x,VERDADERO,3.187
Mar24bS1C1R1_DMl_200x_g.TIF,23.png,green,VERDADERO,trainval,nucleus,marvin,24b,1,1,1,DMl,200x,VERDADERO,3.187
Mar20bS2C1R3_DMl_200x_g.TIF,24.png,green,VERDADERO,test,nucleus,marvin,20b,2,3,1,DMl,200x,VERDADERO,3.187
Mar26bS1C2R2_VLPAGl_200x_g.TIF,25.png,green,VERDADERO,trainval,nucleus,marvin,26b,1,2,2,VLPAGl,200x,VERDADERO,3.187
Mar24bS1C2R1_LHl_200x_g.TIF,26.png,green,VERDADERO,trainval,nucleus,marvin,24b,1,1,2,LHl,200x,VERDADERO,3.187
Mar23bS1C6R3_LHl_200x_g.TIF,27.png,green,VERDADERO,trainval,nucleus,marvin,23b,1,3,6,LHl,200x,VERDADERO,3.187
Mar26bS1C4R2_DMl_200x_g.TIF,28.png,green,VERDADERO,trainval,nucleus,marvin,26b,1,2,4,DMl,200x,VERDADERO,3.187
Mar22bS2C1R1_LHr_200x_g.TIF,29.png,green,VERDADERO,test,nucleus,marvin,22b,2,1,1,LHr,200x,VERDADERO,3.187
